Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,0.652896,0.671331,0.633700,0.649443,0.649443,16190074
2021-01-02,0.649375,0.649818,0.619372,0.631426,0.631426,19299747
2021-01-03,0.631591,0.680439,0.627878,0.661895,0.661895,32764781
2021-01-04,0.661846,0.721749,0.638461,0.670244,0.670244,51922005
2021-01-05,0.670082,0.720844,0.650546,0.716674,0.716674,43799821
2021-01-06,0.716962,0.721520,0.703237,0.716177,0.716177,17479500
2021-01-07,0.715790,0.954311,0.712004,0.859008,0.859008,73383665
2021-01-08,0.859797,0.896662,0.829890,0.852572,0.852572,33812936
2021-01-09,0.852234,0.853124,0.816339,0.819015,0.819015,18158220
2021-01-10,0.819077,0.890044,0.816657,0.847069,0.847069,30493281
2021-01-11,0.846001,0.846032,0.699689,0.740396,0.740396,56629816
2021-01-12,0.740203,0.838609,0.714518,0.749025,0.749025,32318496
2021-01-13,0.747041,0.848130,0.721886,0.821367,0.821367,29486913
2021-01-14,0.821737,0.900902,0.804737,0.831446,0.831446,30663693
2021-01-15,0.831419,0.852006,0.757896,0.791839,0.791839,21542624
2021-01-16,0.792022,0.813537,0.758089,0.761519,0.761519,15020435
2021-01-17,0.761201,0.828745,0.749432,0.807313,0.807313,23241422
2021-01-18,0.807710,0.815730,0.791064,0.799752,0.799752,12917175
2021-01-19,0.799828,1.000317,0.792607,0.910462,0.910462,60245452
2021-01-20,0.910178,0.938727,0.867454,0.904674,0.904674,24589191
2021-01-21,0.904744,0.906441,0.795702,0.796235,0.796235,24484681
2021-01-22,0.795768,0.863740,0.771163,0.813227,0.813227,27699537
2021-01-23,0.813270,0.900708,0.806233,0.900708,0.900708,22818246
2021-01-24,0.901772,0.922561,0.858546,0.907250,0.907250,25070024
2021-01-25,0.907433,0.938766,0.868509,0.870357,0.870357,21912329
2021-01-26,0.870194,1.353840,0.866263,1.265892,1.265892,261899675
2021-01-27,1.268734,1.284446,1.120341,1.123232,1.123232,112674159
2021-01-28,1.123310,1.570307,1.112985,1.454772,1.454772,246448752
2021-01-29,1.472710,1.695704,1.447294,1.475873,1.475873,151889653
2021-01-30,1.473645,1.574038,1.400125,1.433494,1.433494,74765787
2021-01-31,1.433579,1.531013,1.369338,1.461070,1.461070,87289395
2021-02-01,1.459021,1.895228,1.417684,1.792355,1.792355,183865495
2021-02-02,1.796485,2.340503,1.796485,2.340503,2.340503,253258931
2021-02-03,2.347537,2.490363,2.013428,2.104048,2.104048,244705526
2021-02-04,2.105635,2.846560,1.975755,2.643723,2.643723,313114758
2021-02-05,2.656710,3.011779,2.656710,2.870294,2.870294,169253224
2021-02-06,2.867888,2.963732,2.633644,2.684605,2.684605,116055040
2021-02-07,2.677979,3.137260,2.484421,3.046436,3.046436,204601208
2021-02-08,3.065184,6.083691,3.065184,5.785560,5.785560,925338670
2021-02-09,5.751344,7.355403,4.843444,6.437321,6.437321,1153234845
2021-02-10,6.428526,6.956214,5.784061,6.119060,6.119060,459775045
2021-02-11,6.091032,6.488597,5.484725,5.484725,5.484725,301285570
2021-02-12,5.471158,6.130854,5.408517,5.725766,5.725766,354103437
2021-02-13,5.718121,5.977169,5.393499,5.585743,5.585743,189307924
2021-02-14,5.581394,6.147491,5.357629,5.651177,5.651177,234014904
2021-02-15,5.635206,5.853822,4.972562,5.453699,5.453699,261353724
2021-02-16,5.447320,6.708621,5.304282,6.512375,6.512375,459996383
2021-02-17,6.524130,7.442310,5.832053,7.303835,7.303835,578430821
2021-02-18,7.292970,7.519992,6.462905,6.707302,6.707302,267006322
2021-02-19,6.695794,6.884507,6.200101,6.316064,6.316064,204897846
2021-02-20,6.313124,6.738595,5.733764,5.964345,5.964345,195368387
2021-02-21,5.954762,6.360026,5.812677,6.124401,6.124401,156476811
2021-02-22,6.124817,8.406709,5.965200,7.065779,7.065779,731036801
2021-02-23,7.064021,7.114671,5.570102,6.712749,6.712749,578884178
2021-02-24,6.725887,7.662580,6.417242,6.689729,6.689729,347070519
2021-02-25,6.682421,7.208552,5.963476,5.963476,5.963476,247342950
2021-02-26,5.987648,6.403532,5.585925,5.895828,5.895828,185889740
2021-02-27,5.900442,6.367059,5.771591,5.919003,5.919003,133102816
2021-02-28,5.921469,6.016914,4.996101,5.349641,5.349641,164424751
2021-03-01,5.361633,6.768265,5.353889,6.751053,6.751053,284275053
2021-03-02,6.750741,6.780756,6.232610,6.457235,6.457235,186109178
2021-03-03,6.472056,8.203225,6.439836,7.224770,7.224770,459813956
2021-03-04,7.213907,8.134108,7.113170,7.498445,7.498445,418936174
2021-03-05,7.474930,8.764044,6.996793,8.488712,8.488712,539816082
2021-03-06,8.478125,8.935028,8.105056,8.237392,8.237392,335788160
2021-03-07,8.248053,8.302707,7.789121,8.271160,8.271160,187859367
2021-03-08,8.254155,9.772783,8.104066,9.639250,9.639250,423561756
2021-03-09,9.669756,12.062220,9.607979,11.712572,11.712572,842804932
2021-03-10,11.666214,11.745773,10.899007,11.147438,11.147438,392489796
2021-03-11,11.123948,11.371081,10.425655,10.815984,10.815984,353032857
2021-03-12,10.817126,14.344089,10.597125,14.162926,14.162926,778270134
2021-03-13,14.158122,14.815661,12.716983,14.586310,14.586310,458413473
2021-03-14,14.594353,16.680822,13.886953,15.874853,15.874853,787898017
2021-03-15,15.842349,16.675879,14.630610,16.339869,16.339869,648714358
2021-03-16,16.333685,20.737556,16.132998,19.880777,19.880777,1453287134
2021-03-17,19.905979,19.905979,17.229843,18.587238,18.587238,1043820400
2021-03-18,18.527479,19.254280,17.726421,19.005020,19.005020,560830319
2021-03-19,18.976917,21.883413,18.608950,20.011986,20.011986,834679597
2021-03-20,19.948143,21.399523,19.734903,20.892002,20.892002,399899063
2021-03-21,20.895308,22.329994,20.839693,21.982670,21.982670,590731035
2021-03-22,21.972399,22.041758,19.242750,19.434917,19.434917,513268520
2021-03-23,19.420399,19.804129,16.777584,17.052082,17.052082,534066504
2021-03-24,17.026884,18.780670,15.949359,16.686749,16.686749,839262903
2021-03-25,16.637634,17.215229,16.056889,16.452650,16.452650,466380561
2021-03-26,16.458988,18.997766,16.448381,18.528397,18.528397,470743750
2021-03-27,18.464809,19.244322,18.071066,18.748030,18.748030,269291397
2021-03-28,18.717606,19.274248,18.093134,18.587406,18.587406,218275563
2021-03-29,18.573715,19.497236,18.245794,18.899931,18.899931,265177895
2021-03-30,18.895567,19.212120,18.236910,18.669039,18.669039,274912189
2021-03-31,18.672083,19.554237,18.053989,18.700575,18.700575,502783251
2021-04-01,18.701763,19.145439,18.144798,18.516495,18.516495,329541119
2021-04-02,18.501116,19.187466,18.429724,18.566605,18.566605,288164247
2021-04-03,18.566414,18.888840,18.106482,18.141928,18.141928,188820041
2021-04-04,18.143066,18.716543,18.053671,18.347498,18.347498,155778458
